Calendar Year,Selling Period,Number of Stamps Purchased for Sale in NYC,Number of Stamps Purchased for Sale Outside of NYC,Month Sort Order
2021,December,2130000,14040000,12
2021,November,2040000,14550000,11
2021,October,2160000,13290000,10
2021,September,2220000,16860000,9
2021,August,2370000,15810000,8
2021,July,2250000,15300000,7
2021,June,2280000,18180000,6
2021,May,2040000,14280000,5
2021,April,2160000,15780000,4
2021,March,2190000,15060000,3
2021,February,1770000,12480000,2
2021,January,2040000,10260000,1
2020,December,2220000,18630000,12
2020,November,2250000,14610000,11
2020,October,2340000,15127200,10
2020,September,2340000,16320000,9
2020,August,2520000,17550000,8
2020,July,2820000,17160000,7
2020,June,2670000,19350000,6
2020,May,1860000,14010000,5
2020,April,1980000,13800000,4
2020,March,2610000,17647200,3
2020,February,2310000,12690000,2
2020,January,2790000,13530000,1
2019,December,2700000,15000000,12
2019,November,2520000,15750000,11
2019,October,3240000,15840000,10
2019,September,2580000,14760000,9
2019,August,2910000,16650000,8
2019,July,3000000,18157200,7
2019,June,2790000,16050000,6
2019,May,3090000,17070000,5
2019,April,2820000,15930000,4
2019,March,2700000,14250000,3
2019,February,2310000,12690000,2
2019,January,2850000,13290000,1
2018,December,2880000,16740000,12
2018,November,3270000,16327200,11
2018,October,3330000,17460000,10
2018,September,2910000,13770000,9
2018,August,3720000,20640000,8
2018,July,3540000,18000000,7
2018,June,3600000,17520000,6
2018,May,4380000,19327200,5
2018,April,3570000,15630000,4
2018,March,3780000,15750000,3
2018,February,3090000,14340000,2
2018,January,3180000,14130000,1
2017,December,3600000,17347200,12
2017,November,3750000,16950000,11
2017,October,3840000,17700000,10
2017,September,3780000,15397200,9
2017,August,4350000,20820000,8
2017,July,3570000,18300000,7
2017,June,4350000,19530000,6
2017,May,4470000,20190000,5
2017,April,3900000,15990000,4
2017,March,3930000,17617200,3
2017,February,3570000,14520000,2
2017,January,3510000,14730000,1
2016,December,4290000,17730000,12
2016,November,4170000,17340000,11
2016,October,3900000,17970000,10
2016,September,4620000,19260000,9
2016,August,4590000,20610000,8
2016,July,3930000,17107200,7
2016,June,5220000,21300000,6
2016,May,4650000,19740000,5
2016,April,3930000,16320000,4
2016,March,5070000,18780000,3
2016,February,3990000,14767200,2
2016,January,3570000,13950000,1
2015,December,5070000,20700000,12
2015,November,4530000,18480000,11
2015,October,4920000,18090000,10
2015,September,4800000,19230000,9
2015,August,4980000,20737200,8
2015,July,4770000,19170000,7
2015,June,5340000,21870000,6
2015,May,4890000,20220000,5
2015,April,5100000,18030000,4
2015,March,4740000,18067200,3
2015,February,4380000,15630000,2
2015,January,4140000,14520000,1
2014,December,4950000,20700000,12
2014,November,5010000,18840000,11
2014,October,5580000,19380000,10
2014,September,5190000,19710000,9
2014,August,5280000,20527200,8
2014,July,6090000,21420000,7
2014,June,5250000,20940000,6
2014,May,5880000,20580000,5
2014,April,5490000,18397200,4
2014,March,4740000,17940000,3
2014,February,4980000,16530000,2
2014,January,4320000,15420000,1
2013,December,6660000,21840000,12
2013,November,5460000,18300000,11
2013,October,6210000,20647200,10
2013,September,5700000,20130000,9
2013,August,6030000,22950000,8
2013,July,6480000,22410000,7
2013,June,6690000,21667200,6
2013,May,6420000,22710000,5
2013,April,6060000,20640000,4
2013,March,5640000,17370000,3
2013,February,5310000,18480000,2
2013,January,4950000,17250000,1
2012,December,7200000,21757200,12
2012,November,7020000,21540000,11
2012,October,6540000,21120000,10
2012,September,5700000,20010000,9
2012,August,7260000,23790000,8
2012,July,6810000,23977200,7
