State,Year,Race,Gender,Age,Education,Current_Consumption,Previous_Year_Consumption,Current_Tax,Previous_Year_Tax
Alabama,2015,African American,Overall,All Ages,All Grades,20.0,20.2,1.685,1.435
Alabama,2015,All Races,Female,18 to 44 Years,All Grades,21.9,21.5,1.685,1.435
Alabama,2015,All Races,Female,All Ages,All Grades,19.2,19.0,1.685,1.435
Alabama,2015,All Races,Male,All Ages,All Grades,23.8,23.5,1.685,1.435
Alabama,2015,All Races,Overall,18 to 24 Years,All Grades,21.1,23.5,1.685,1.435
Alabama,2015,All Races,Overall,25 to 44 Years,All Grades,27.4,25.4,1.685,1.435
Alabama,2015,All Races,Overall,45 to 64 Years,All Grades,22.5,23.0,1.685,1.435
Alabama,2015,All Races,Overall,65 Years and Older,All Grades,10.2,9.4,1.685,1.435
Alabama,2015,All Races,Overall,Age 20 and Older,12th Grade,25.0,24.3,1.685,1.435
Alabama,2015,All Races,Overall,Age 20 and Older,< 12th Grade,34.4,37.6,1.685,1.435
Alabama,2015,All Races,Overall,Age 20 and Older,> 12th Grade,15.7,14.7,1.685,1.435
Alabama,2015,All Races,Overall,Age 25 and Older,12th Grade,25.3,23.9,1.685,1.435
Alabama,2015,All Races,Overall,Age 25 and Older,< 12th Grade,33.0,35.2,1.685,1.435
Alabama,2015,All Races,Overall,Age 25 and Older,> 12th Grade,15.7,14.2,1.685,1.435
Alabama,2015,All Races,Overall,All Ages,All Grades,21.4,21.1,1.685,1.435
Alabama,2015,American Indian/Alaska Native,Overall,All Ages,All Grades,40.6,29.9,1.685,1.435
Alabama,2015,Asian/Pacific Islander,Overall,All Ages,All Grades,,,1.685,1.435
Alabama,2015,Hispanic,Overall,All Ages,All Grades,20.2,18.6,1.685,1.435
Alabama,2015,White,Overall,All Ages,All Grades,21.9,21.9,1.685,1.435
California,2017,African American,Overall,All Ages,All Grades,17.5,15.5,3.88,1.88
California,2017,All Races,Female,18 to 44 Years,All Grades,8.1,7.6,3.88,1.88
California,2017,All Races,Female,All Ages,All Grades,7.8,8.2,3.88,1.88
California,2017,All Races,Male,All Ages,All Grades,14.9,13.8,3.88,1.88
California,2017,All Races,Overall,18 to 24 Years,All Grades,6.6,9.2,3.88,1.88
California,2017,All Races,Overall,25 to 44 Years,All Grades,15.3,12.8,3.88,1.88
California,2017,All Races,Overall,45 to 64 Years,All Grades,12.3,12.6,3.88,1.88
California,2017,All Races,Overall,65 Years and Older,All Grades,5.3,5.6,3.88,1.88
California,2017,All Races,Overall,Age 20 and Older,12th Grade,16.0,14.5,3.88,1.88
California,2017,All Races,Overall,Age 20 and Older,< 12th Grade,16.3,14.2,3.88,1.88
California,2017,All Races,Overall,Age 20 and Older,> 12th Grade,9.0,9.4,3.88,1.88
California,2017,All Races,Overall,Age 25 and Older,12th Grade,16.9,14.1,3.88,1.88
California,2017,All Races,Overall,Age 25 and Older,< 12th Grade,16.2,13.9,3.88,1.88
California,2017,All Races,Overall,Age 25 and Older,> 12th Grade,9.2,9.6,3.88,1.88
California,2017,All Races,Overall,All Ages,All Grades,11.3,11.0,3.88,1.88
California,2017,American Indian/Alaska Native,Overall,All Ages,All Grades,11.5,17.1,3.88,1.88
California,2017,Asian/Pacific Islander,Overall,All Ages,All Grades,7.4,5.7,3.88,1.88
California,2017,Hispanic,Overall,All Ages,All Grades,10.7,10.6,3.88,1.88
California,2017,White,Overall,All Ages,All Grades,12.4,12.1,3.88,1.88
Connecticut,2015,African American,Overall,All Ages,All Grades,16.9,18.5,4.66,4.41
Connecticut,2015,All Races,Female,18 to 44 Years,All Grades,11.7,15.5,4.66,4.41
Connecticut,2015,All Races,Female,All Ages,All Grades,10.9,13.5,4.66,4.41
Connecticut,2015,All Races,Male,All Ages,All Grades,16.3,17.5,4.66,4.41
Connecticut,2015,All Races,Overall,18 to 24 Years,All Grades,9.9,13.0,4.66,4.41
Connecticut,2015,All Races,Overall,25 to 44 Years,All Grades,17.5,21.1,4.66,4.41
Connecticut,2015,All Races,Overall,45 to 64 Years,All Grades,14.9,16.3,4.66,4.41
Connecticut,2015,All Races,Overall,65 Years and Older,All Grades,7.3,7.0,4.66,4.41
Connecticut,2015,All Races,Overall,Age 20 and Older,12th Grade,17.7,22.8,4.66,4.41
Connecticut,2015,All Races,Overall,Age 20 and Older,< 12th Grade,26.6,27.3,4.66,4.41
Connecticut,2015,All Races,Overall,Age 20 and Older,> 12th Grade,9.9,11.0,4.66,4.41
Connecticut,2015,All Races,Overall,Age 25 and Older,12th Grade,17.7,22.3,4.66,4.41
Connecticut,2015,All Races,Overall,Age 25 and Older,< 12th Grade,25.8,26.5,4.66,4.41
Connecticut,2015,All Races,Overall,Age 25 and Older,> 12th Grade,10.2,11.1,4.66,4.41
Connecticut,2015,All Races,Overall,All Ages,All Grades,13.5,15.4,4.66,4.41
Connecticut,2015,American Indian/Alaska Native,Overall,All Ages,All Grades,,,4.66,4.41
Connecticut,2015,Asian/Pacific Islander,Overall,All Ages,All Grades,9.4,13.7,4.66,4.41
Connecticut,2015,Hispanic,Overall,All Ages,All Grades,15.4,20.6,4.66,4.41
Connecticut,2015,White,Overall,All Ages,All Grades,12.9,14.1,4.66,4.41
Connecticut,2016,African American,Overall,All Ages,All Grades,16.8,16.9,4.91,4.66
Connecticut,2016,All Races,Female,18 to 44 Years,All Grades,13.6,11.7,4.91,4.66
Connecticut,2016,All Races,Female,All Ages,All Grades,12.0,10.9,4.91,4.66
Connecticut,2016,All Races,Male,All Ages,All Grades,14.8,16.3,4.91,4.66
Connecticut,2016,All Races,Overall,18 to 24 Years,All Grades,13.1,9.9,4.91,4.66
Connecticut,2016,All Races,Overall,25 to 44 Years,All Grades,15.5,17.5,4.91,4.66
Connecticut,2016,All Races,Overall,45 to 64 Years,All Grades,14.9,14.9,4.91,4.66
Connecticut,2016,All Races,Overall,65 Years and Older,All Grades,7.8,7.3,4.91,4.66
Connecticut,2016,All Races,Overall,Age 20 and Older,12th Grade,18.6,17.7,4.91,4.66
Connecticut,2016,All Races,Overall,Age 20 and Older,< 12th Grade,28.6,26.6,4.91,4.66
Connecticut,2016,All Races,Overall,Age 20 and Older,> 12th Grade,8.8,9.9,4.91,4.66
Connecticut,2016,All Races,Overall,Age 25 and Older,12th Grade,18.3,17.7,4.91,4.66
Connecticut,2016,All Races,Overall,Age 25 and Older,< 12th Grade,26.6,25.8,4.91,4.66
Connecticut,2016,All Races,Overall,Age 25 and Older,> 12th Grade,8.7,10.2,4.91,4.66
Connecticut,2016,All Races,Overall,All Ages,All Grades,13.3,13.5,4.91,4.66
Connecticut,2016,American Indian/Alaska Native,Overall,All Ages,All Grades,,,4.91,4.66
Connecticut,2016,Asian/Pacific Islander,Overall,All Ages,All Grades,6.7,9.4,4.91,4.66
Connecticut,2016,Hispanic,Overall,All Ages,All Grades,15.2,15.4,4.91,4.66
Connecticut,2016,White,Overall,All Ages,All Grades,12.6,12.9,4.91,4.66
Connecticut,2018,African American,Overall,All Ages,All Grades,18.2,15.0,5.36,4.91
Connecticut,2018,All Races,Female,18 to 44 Years,All Grades,12.3,12.7,5.36,4.91
Connecticut,2018,All Races,Female,All Ages,All Grades,10.8,11.5,5.36,4.91
Connecticut,2018,All Races,Male,All Ages,All Grades,13.6,14.1,5.36,4.91
Connecticut,2018,All Races,Overall,18 to 24 Years,All Grades,10.1,10.6,5.36,4.91
Connecticut,2018,All Races,Overall,25 to 44 Years,All Grades,15.9,17.6,5.36,4.91
Connecticut,2018,All Races,Overall,45 to 64 Years,All Grades,13.5,12.8,5.36,4.91
Connecticut,2018,All Races,Overall,65 Years and Older,All Grades,6.0,7.2,5.36,4.91
Connecticut,2018,All Races,Overall,Age 20 and Older,12th Grade,18.4,19.3,5.36,4.91
Connecticut,2018,All Races,Overall,Age 20 and Older,< 12th Grade,23.7,23.8,5.36,4.91
Connecticut,2018,All Races,Overall,Age 20 and Older,> 12th Grade,8.2,8.4,5.36,4.91
Connecticut,2018,All Races,Overall,Age 25 and Older,12th Grade,18.0,20.0,5.36,4.91
Connecticut,2018,All Races,Overall,Age 25 and Older,< 12th Grade,22.4,23.4,5.36,4.91
Connecticut,2018,All Races,Overall,Age 25 and Older,> 12th Grade,8.5,8.4,5.36,4.91
Connecticut,2018,All Races,Overall,All Ages,All Grades,12.2,12.7,5.36,4.91
Connecticut,2018,American Indian/Alaska Native,Overall,All Ages,All Grades,,,5.36,4.91
Connecticut,2018,Asian/Pacific Islander,Overall,All Ages,All Grades,4.5,6.1,5.36,4.91
Connecticut,2018,Hispanic,Overall,All Ages,All Grades,16.5,16.3,5.36,4.91
Connecticut,2018,White,Overall,All Ages,All Grades,10.8,12.0,5.36,4.91
