Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ave,Cum
2022,7.5,7.9,8.5,8.3,8.6,9.1,8.5,8.3,8.2,7.7,7.1,6.5,8,2.273602759
2021,1.4,1.7,2.6,4.2,5,5.4,5.4,5.3,5.4,6.2,6.8,7,4.7,2.10518774
2020,2.5,2.3,1.5,0.3,0.1,0.6,1,1.3,1.4,1.2,1.2,1.4,1.2,2.010685521
2019,1.6,1.5,1.9,2,1.8,1.6,1.8,1.7,1.7,1.8,2.1,2.3,1.8,1.9868434
2018,2.1,2.2,2.4,2.5,2.8,2.9,2.9,2.7,2.3,2.5,2.2,1.9,2.4,1.951712574
2017,2.5,2.7,2.4,2.2,1.9,1.6,1.7,1.9,2.2,2,2.2,2.1,2.1,1.90596931
2016,1.4,1,0.9,1.1,1,1,0.8,1.1,1.5,1.6,1.7,2.1,1.3,1.866767199
2015,-0.1,0,-0.1,-0.2,0,0.1,0.2,0.2,0,0.2,0.5,0.7,0.1,1.84281066
2014,1.6,1.1,1.5,2,2.1,2.1,2,1.7,1.7,1.7,1.3,0.8,1.6,1.840969691
2013,1.6,2,1.5,1.1,1.4,1.8,2,1.5,1.2,1,1.2,1.5,1.5,1.811978042
2012,2.9,2.9,2.7,2.3,1.7,1.7,1.4,1.7,2,2.2,1.8,1.7,2.1,1.785200041
2011,1.6,2.1,2.7,3.2,3.6,3.6,3.6,3.8,3.9,3.5,3.4,3,3.2,1.748481921
2010,2.6,2.1,2.3,2.2,2,1.1,1.2,1.1,1.1,1.2,1.1,1.5,1.6,1.694265427
2009,0,0.2,-0.4,-0.7,-1.3,-1.4,-2.1,-1.5,-1.3,-0.2,1.8,2.7,-0.4,1.667584082
2008,4.3,4,4,3.9,4.2,5,5.6,5.4,4.9,3.7,1.1,0.1,3.8,1.674281207
2007,2.1,2.4,2.8,2.6,2.7,2.7,2.4,2,2.8,3.5,4.3,4.1,2.8,1.612987675
2006,4,3.6,3.4,3.5,4.2,4.3,4.1,3.8,2.1,1.3,2,2.5,3.2,1.569054159
2005,3,3,3.1,3.5,2.8,2.5,3.2,3.6,4.7,4.3,3.5,3.4,3.4,1.520401317
2004,1.9,1.7,1.7,2.3,3.1,3.3,3,2.7,2.5,3.2,3.5,3.3,2.7,1.470407463
2003,2.6,3,3,2.2,2.1,2.1,2.1,2.2,2.3,2,1.8,1.9,2.3,1.431750207
2002,1.1,1.1,1.5,1.6,1.2,1.1,1.5,1.8,1.5,2,2.2,2.4,1.6,1.39956032
2001,3.7,3.5,2.9,3.3,3.6,3.2,2.7,2.7,2.6,2.1,1.9,1.6,2.8,1.37752
2000,2.7,3.2,3.8,3.1,3.2,3.7,3.7,3.4,3.5,3.4,3.4,3.4,3.4,1.34
1999,,,,,,,,,,,,,0,0
