State,Year,Gender,Race,Age,Education,Current_Consumption,Previous_Year_Consumption,Percent_Consumption_Change
Alabama,2012,Female,All Races,18 to 44 Years,All Grades,27.3,24.3,12.345679012345679
Alabama,2012,Female,All Races,All Ages,All Grades,21.4,21.0,1.904761904761898
Alabama,2012,Male,All Races,All Ages,All Grades,26.4,28.0,-5.71428571428572
Alabama,2012,Overall,African American,All Ages,All Grades,22.0,20.7,6.280193236714979
Alabama,2012,Overall,All Races,18 to 24 Years,All Grades,27.5,30.3,-9.240924092409243
Alabama,2012,Overall,All Races,25 to 44 Years,All Grades,28.9,28.2,2.482269503546097
Alabama,2012,Overall,All Races,45 to 64 Years,All Grades,25.4,26.2,-3.0534351145038197
Alabama,2012,Overall,All Races,65 Years and Older,All Grades,9.7,10.2,-4.901960784313726
Alabama,2012,Overall,All Races,Age 20 and Older,12th Grade,26.5,26.0,1.9230769230769231
Alabama,2012,Overall,All Races,Age 20 and Older,< 12th Grade,38.5,40.9,-5.867970660146696
Alabama,2012,Overall,All Races,Age 20 and Older,> 12th Grade,17.3,17.7,-2.2598870056497096
Alabama,2012,Overall,All Races,Age 25 and Older,12th Grade,26.0,24.9,4.41767068273093
Alabama,2012,Overall,All Races,Age 25 and Older,< 12th Grade,36.5,37.5,-2.6666666666666665
Alabama,2012,Overall,All Races,Age 25 and Older,> 12th Grade,16.6,17.5,-5.142857142857134
Alabama,2012,Overall,All Races,All Ages,All Grades,23.8,24.3,-2.05761316872428
Alabama,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,36.6,51.6,-29.069767441860463
Alabama,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,,,
Alabama,2012,Overall,Hispanic,All Ages,All Grades,18.1,27.4,-33.94160583941605
Alabama,2012,Overall,White,All Ages,All Grades,24.2,24.9,-2.811244979919676
Alaska,2012,Female,All Races,18 to 44 Years,All Grades,20.8,25.3,-17.786561264822133
Alaska,2012,Female,All Races,All Ages,All Grades,18.8,23.0,-18.260869565217387
Alaska,2012,Male,All Races,All Ages,All Grades,22.1,22.9,-3.4934497816593764
Alaska,2012,Overall,African American,All Ages,All Grades,19.6,,
Alaska,2012,Overall,All Races,18 to 24 Years,All Grades,24.0,21.8,10.091743119266052
Alaska,2012,Overall,All Races,25 to 44 Years,All Grades,21.2,26.3,-19.3916349809886
Alaska,2012,Overall,All Races,45 to 64 Years,All Grades,21.6,22.9,-5.6768558951964945
Alaska,2012,Overall,All Races,65 Years and Older,All Grades,11.6,12.4,-6.451612903225812
Alaska,2012,Overall,All Races,Age 20 and Older,12th Grade,27.2,29.9,-9.030100334448159
Alaska,2012,Overall,All Races,Age 20 and Older,< 12th Grade,40.2,45.7,-12.035010940919037
Alaska,2012,Overall,All Races,Age 20 and Older,> 12th Grade,14.6,16.5,-11.515151515151517
Alaska,2012,Overall,All Races,Age 25 and Older,12th Grade,27.2,30.1,-9.634551495016618
Alaska,2012,Overall,All Races,Age 25 and Older,< 12th Grade,40.8,44.2,-7.692307692307705
Alaska,2012,Overall,All Races,Age 25 and Older,> 12th Grade,14.4,16.7,-13.772455089820353
Alaska,2012,Overall,All Races,All Ages,All Grades,20.5,22.9,-10.48034934497816
Alaska,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,38.9,39.2,-0.7653061224489904
Alaska,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,13.0,14.4,-9.722222222222223
Alaska,2012,Overall,Hispanic,All Ages,All Grades,23.1,22.8,1.3157894736842135
Alaska,2012,Overall,White,All Ages,All Grades,16.9,19.3,-12.435233160621774
Arizona,2012,Female,All Races,18 to 44 Years,All Grades,14.7,20.1,-26.865671641791053
Arizona,2012,Female,All Races,All Ages,All Grades,14.7,17.5,-16.000000000000004
Arizona,2012,Male,All Races,All Ages,All Grades,19.6,21.0,-6.66666666666666
Arizona,2012,Overall,African American,All Ages,All Grades,24.1,27.3,-11.721611721611719
Arizona,2012,Overall,All Races,18 to 24 Years,All Grades,18.9,19.2,-1.5625000000000038
Arizona,2012,Overall,All Races,25 to 44 Years,All Grades,19.2,23.0,-16.521739130434785
Arizona,2012,Overall,All Races,45 to 64 Years,All Grades,19.0,20.8,-8.653846153846157
Arizona,2012,Overall,All Races,65 Years and Older,All Grades,9.5,9.0,5.555555555555555
Arizona,2012,Overall,All Races,Age 20 and Older,12th Grade,23.4,24.1,-2.9045643153527085
Arizona,2012,Overall,All Races,Age 20 and Older,< 12th Grade,21.0,27.9,-24.73118279569892
Arizona,2012,Overall,All Races,Age 20 and Older,> 12th Grade,13.8,14.7,-6.1224489795918275
Arizona,2012,Overall,All Races,Age 25 and Older,12th Grade,23.0,24.0,-4.166666666666667
Arizona,2012,Overall,All Races,Age 25 and Older,< 12th Grade,21.0,28.6,-26.573426573426577
Arizona,2012,Overall,All Races,Age 25 and Older,> 12th Grade,13.5,14.9,-9.395973154362418
Arizona,2012,Overall,All Races,All Ages,All Grades,17.1,19.3,-11.398963730569944
Arizona,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,20.4,20.0,1.999999999999993
Arizona,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,3.7,13.3,-72.18045112781955
